asv	FEzW4zC11	FEzW0zC7	FEzW4zF8	FEzW4zF5	FEzW2zC6	FEzW0zF11	FEzW2zF4	FEzW2zC8	FEzW4zC1	FEzW4zC6	FEzW2zF2	FEzW0zF7	FEzW2zC10	FEzW0zF5	FEzW6zC4	FEzW0zF6	FEzW4zF1	FEzW6zC3	FEzW6zF8	FEzW0zC9	FEzW4zC10	FEzW0zF1	FEzW2zF7	FEzW4zC2	FEzW4zF3	FEzW6zF5	FEzW2zF8	FEzW6zF2	FEzW6zC6	FEzW2zF6	FEzW0zF2	FEzW2zC2	FEzW6zF9	FEzW4zC3	FEzW0zF3	FEzW4zF9	FEzW6zF6	FEzW2zC9	FEzW6zC2	FEzW0zF9	FEzW2zC4	FEzW0zC2	FEzW4zC9	FEzW6zC10	FEzW0zC1	FEzW4zF4	FEzW6zF3	FEzW2zC3	FEzW4zF7	FEzW0zC6	FEzW6zF11	FEzW0zF4	FEzW2zF11	FEzW4zC4	FEzW0zC10	FEzW6zC7	FEzW6zF7	FEzW6zC5	FEzW6zF1	FEzW2zC5	FEzW0zC4	FEzW0zC5	FEzW6zC9	FEzW6zC1	FEzW2zF1	FEzW2zC11	FEzW2zF9	FEzW2zF5	FEzW2zF3	FEzW2zC1	FEzW2zC7	FEzW4zF2	FEzW4zC7	FEzW6zF4	FEzW4zC5	FEzW0zC8	FEzW4zC8	FEzW4zF6	FEzW0zC11	FEzW6zC11	FEzW6zC8
3581ee04b1fe48e7a1e7eccca70d57d0	911.0	584.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	61.0	1166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	1350.0	15.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	101.0	3.0	0.0	0.0	91.0	0.0	0.0	297.0	579.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	256.0	0.0	0.0	402.0	45.0	778.0	0.0	0.0	0.0	602.0	0.0	0.0	485.0	1442.0
6d9f5f058556879d0956357ed5e43630	430.0	80.0	0.0	0.0	0.0	14.0	2.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	178.0	3.0	0.0	400.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	4.0	0.0	0.0	0.0	0.0	38.0	28.0	0.0	0.0	0.0	0.0	1891.0	0.0	0.0	89.0	2.0	541.0	4.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	601.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	34.0	177.0	0.0	2.0	162.0	1107.0
6e297c9788387fd4bd94255b7ebcf76b	296.0	436.0	266.0	284.0	132.0	141.0	176.0	91.0	354.0	192.0	408.0	59.0	139.0	241.0	96.0	48.0	162.0	39.0	234.0	313.0	66.0	176.0	74.0	287.0	195.0	335.0	413.0	272.0	115.0	169.0	158.0	202.0	57.0	8.0	281.0	250.0	278.0	68.0	219.0	201.0	153.0	69.0	193.0	142.0	318.0	143.0	382.0	79.0	261.0	34.0	140.0	186.0	54.0	75.0	198.0	198.0	146.0	20.0	138.0	76.0	473.0	41.0	110.0	427.0	182.0	182.0	77.0	184.0	349.0	284.0	146.0	283.0	289.0	137.0	375.0	330.0	217.0	283.0	127.0	8.0	433.0
73e560369a8522f9452e19092ecbc9a5	269.0	856.0	613.0	223.0	438.0	82.0	1219.0	773.0	794.0	377.0	364.0	190.0	398.0	70.0	749.0	658.0	211.0	806.0	417.0	51.0	145.0	269.0	82.0	182.0	1061.0	1057.0	734.0	403.0	570.0	428.0	71.0	33.0	1352.0	1031.0	1270.0	960.0	511.0	444.0	149.0	592.0	484.0	57.0	613.0	272.0	54.0	1217.0	316.0	676.0	1008.0	265.0	39.0	921.0	414.0	692.0	917.0	474.0	480.0	1259.0	12.0	945.0	87.0	541.0	549.0	1083.0	54.0	314.0	659.0	126.0	1898.0	1028.0	908.0	44.0	1516.0	1271.0	1498.0	1054.0	22.0	360.0	128.0	437.0	1715.0
6a97def12e83a80bc5b9d14637f9a571	189.0	627.0	452.0	363.0	227.0	158.0	623.0	112.0	866.0	515.0	1335.0	45.0	200.0	904.0	112.0	91.0	675.0	662.0	705.0	638.0	295.0	840.0	546.0	271.0	190.0	604.0	689.0	1061.0	355.0	643.0	696.0	521.0	173.0	149.0	230.0	0.0	479.0	124.0	304.0	369.0	679.0	104.0	3.0	43.0	982.0	120.0	984.0	86.0	1063.0	83.0	868.0	286.0	194.0	89.0	78.0	254.0	343.0	371.0	553.0	225.0	195.0	28.0	173.0	535.0	1738.0	285.0	119.0	824.0	259.0	692.0	16.0	506.0	332.0	401.0	710.0	646.0	397.0	622.0	261.0	688.0	1396.0
ff1378f341f14582b10be8a2d430d9e9	188.0	315.0	34.0	64.0	78.0	34.0	47.0	18.0	76.0	101.0	61.0	19.0	42.0	118.0	22.0	30.0	75.0	67.0	46.0	193.0	46.0	64.0	139.0	55.0	38.0	96.0	82.0	91.0	35.0	45.0	36.0	78.0	76.0	147.0	47.0	71.0	92.0	10.0	56.0	61.0	71.0	11.0	84.0	27.0	76.0	27.0	80.0	25.0	238.0	7.0	82.0	72.0	11.0	38.0	80.0	50.0	83.0	42.0	51.0	27.0	75.0	28.0	84.0	50.0	111.0	26.0	17.0	72.0	100.0	56.0	106.0	31.0	193.0	37.0	93.0	121.0	132.0	49.0	43.0	263.0	348.0
cff43505ddcfca3f662277f751b58a25	163.0	33.0	17.0	4.0	0.0	0.0	72.0	44.0	16.0	0.0	47.0	26.0	86.0	0.0	0.0	83.0	0.0	0.0	24.0	3.0	8.0	46.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	16.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	82.0	28.0	3.0	58.0	0.0	0.0	0.0	0.0	108.0	44.0	0.0	0.0	131.0	147.0	0.0	92.0	0.0	31.0	0.0	182.0	79.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	189.0	15.0	0.0	427.0	0.0	0.0	0.0	137.0	0.0
e386d56d7bbc47203a2b2f9c95d50513	155.0	6.0	114.0	207.0	121.0	200.0	116.0	109.0	246.0	38.0	136.0	204.0	6.0	61.0	265.0	38.0	399.0	11.0	538.0	26.0	66.0	121.0	0.0	98.0	2.0	0.0	433.0	0.0	614.0	272.0	146.0	164.0	429.0	16.0	194.0	181.0	216.0	187.0	98.0	76.0	247.0	533.0	16.0	96.0	392.0	236.0	7.0	30.0	11.0	577.0	193.0	161.0	321.0	69.0	47.0	100.0	0.0	222.0	435.0	45.0	344.0	0.0	3.0	340.0	844.0	454.0	45.0	386.0	0.0	255.0	23.0	0.0	59.0	223.0	284.0	21.0	35.0	21.0	78.0	31.0	69.0
7b79e0d2d5c400165e186fdc812a5357	150.0	179.0	45.0	91.0	15.0	31.0	77.0	26.0	23.0	54.0	94.0	27.0	59.0	101.0	39.0	25.0	51.0	29.0	51.0	75.0	62.0	49.0	37.0	17.0	46.0	112.0	80.0	69.0	54.0	69.0	26.0	40.0	96.0	77.0	53.0	136.0	141.0	22.0	11.0	61.0	32.0	33.0	70.0	46.0	33.0	47.0	66.0	57.0	102.0	8.0	99.0	65.0	12.0	45.0	62.0	94.0	55.0	47.0	44.0	19.0	36.0	21.0	65.0	41.0	112.0	38.0	34.0	112.0	65.0	31.0	23.0	28.0	154.0	57.0	112.0	64.0	72.0	63.0	16.0	70.0	249.0
af653bc44848fd0748ce7bd43d2100ad	125.0	329.0	41.0	112.0	208.0	15.0	164.0	29.0	71.0	144.0	67.0	27.0	40.0	170.0	18.0	13.0	30.0	8.0	37.0	66.0	15.0	49.0	86.0	7.0	160.0	63.0	38.0	7.0	47.0	51.0	19.0	8.0	7.0	92.0	21.0	57.0	152.0	20.0	5.0	88.0	15.0	6.0	90.0	35.0	28.0	39.0	130.0	20.0	224.0	6.0	117.0	88.0	4.0	11.0	43.0	59.0	37.0	12.0	45.0	10.0	48.0	29.0	88.0	118.0	69.0	33.0	47.0	135.0	225.0	46.0	161.0	3.0	135.0	51.0	9.0	119.0	121.0	54.0	50.0	99.0	136.0
