# Constructed from biom file
#OTU ID	FEzW4zC11	FEzW0zC7	FEzW4zF8	FEzW4zF5	FEzW2zC6	FEzW0zF11	FEzW2zF4	FEzW2zC8	FEzW4zC1	FEzW4zC6	FEzW2zF2	FEzW0zF7	FEzW2zC10	FEzW0zF5	FEzW6zC4	FEzW0zF6	FEzW4zF1	FEzW6zC3	FEzW6zF8	FEzW0zC9	FEzW4zC10	FEzW0zF1	FEzW2zF7	FEzW4zC2	FEzW4zF3	FEzW6zF5	FEzW2zF8	FEzW6zF2	FEzW6zC6	FEzW2zF6	FEzW0zF2	FEzW2zC2	FEzW6zF9	FEzW4zC3	FEzW0zF3	FEzW4zF9	FEzW6zF6	FEzW2zC9	FEzW6zC2	FEzW0zF9	FEzW2zC4	FEzW0zC2	FEzW4zC9	FEzW6zC10	FEzW0zC1	FEzW4zF4	FEzW6zF3	FEzW2zC3	FEzW4zF7	FEzW0zC6	FEzW6zF11	FEzW0zF4	FEzW2zF11	FEzW4zC4	FEzW0zC10	FEzW6zC7	FEzW6zF7	FEzW6zC5	FEzW6zF1	FEzW2zC5	FEzW0zC4	FEzW0zC5	FEzW6zC9	FEzW6zC1	FEzW2zF1	FEzW2zC11	FEzW2zF9	FEzW2zF5	FEzW2zF3	FEzW2zC1	FEzW2zC7	FEzW4zF2	FEzW4zC7	FEzW6zF4	FEzW4zC5	FEzW0zC8	FEzW4zC8	FEzW4zF6	FEzW0zC11	FEzW6zC11	FEzW6zC8
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Eggerthellaceae;D_5__Adlercreutzia	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Eggerthellaceae;__	2.0	2.0	2.0	2.0	4.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	5.0	5.0	2.0	4.0	0.0	11.0	2.0	0.0	0.0	2.0	3.0	0.0	10.0	0.0	0.0	5.0	3.0	7.0	2.0	0.0	2.0	3.0	3.0	0.0	4.0	7.0	0.0	0.0	4.0	5.0	2.0	0.0	2.0	3.0	2.0	0.0	4.0	0.0	0.0	2.0	2.0	2.0	2.0	0.0	8.0	6.0	3.0	0.0	0.0	3.0	9.0	10.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	3.0	2.0	2.0	0.0	0.0	4.0	2.0	4.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__uncultured;D_5__uncultured bacterium	4.0	2.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	2.0	3.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	6.0	5.0	3.0	3.0	8.0	3.0	6.0	10.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	4.0	2.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	4.0	4.0	0.0	8.0	8.0	2.0	3.0	2.0	2.0	0.0	5.0	4.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides	1067.0	2668.0	1316.0	1016.0	1107.0	353.0	2501.0	1053.0	1989.0	1987.0	2228.0	339.0	787.0	1515.0	1329.0	860.0	1709.0	2108.0	1483.0	1099.0	677.0	1382.0	1009.0	1342.0	1824.0	3013.0	1661.0	2574.0	1306.0	1754.0	937.0	1034.0	1932.0	2328.0	1687.0	2215.0	1789.0	761.0	2391.0	1316.0	1640.0	270.0	1022.0	511.0	1241.0	1505.0	2397.0	937.0	2943.0	389.0	1348.0	1520.0	697.0	1530.0	1273.0	1216.0	1283.0	1961.0	1253.0	1324.0	473.0	658.0	1247.0	2010.0	2304.0	824.0	938.0	1468.0	2950.0	1956.0	1338.0	1051.0	2667.0	1945.0	2674.0	2277.0	855.0	1630.0	592.0	1805.0	4401.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Paraprevotella	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	18.0	0.0	48.0	0.0	0.0	24.0	7.0	0.0	0.0	17.0	28.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes	17.0	12.0	12.0	7.0	2.0	4.0	20.0	2.0	8.0	0.0	7.0	0.0	2.0	9.0	7.0	2.0	8.0	105.0	6.0	11.0	4.0	4.0	0.0	19.0	7.0	19.0	8.0	15.0	2.0	29.0	11.0	19.0	6.0	442.0	3.0	23.0	11.0	0.0	31.0	13.0	6.0	0.0	7.0	5.0	0.0	8.0	18.0	2.0	12.0	0.0	24.0	12.0	0.0	7.0	5.0	378.0	9.0	7.0	4.0	9.0	5.0	6.0	198.0	6.0	4.0	0.0	2.0	19.0	8.0	6.0	4.0	8.0	25.0	13.0	12.0	10.0	6.0	24.0	3.0	503.0	37.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Tannerellaceae;D_5__Parabacteroides	639.0	1061.0	343.0	428.0	287.0	225.0	317.0	137.0	503.0	400.0	556.0	103.0	235.0	474.0	166.0	122.0	304.0	289.0	343.0	691.0	187.0	301.0	342.0	399.0	275.0	597.0	570.0	453.0	192.0	277.0	237.0	375.0	220.0	349.0	388.0	423.0	465.0	101.0	353.0	307.0	329.0	109.0	370.0	186.0	464.0	202.0	574.0	136.0	756.0	54.0	326.0	345.0	78.0	152.0	349.0	325.0	327.0	167.0	270.0	154.0	627.0	103.0	285.0	554.0	420.0	242.0	114.0	329.0	541.0	400.0	365.0	376.0	710.0	209.0	593.0	575.0	507.0	398.0	211.0	636.0	1212.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Gastranaerophilales;Ambiguous_taxa;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Gastranaerophilales;D_4__uncultured bacterium;D_5__uncultured bacterium	10.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0
