#OTU ID	011BFE	012BFE	013BFE	020BFE	027BFE	028BFE	030BFE	038BFE	040BFE	047BFE	049BFE	053BFE	055BFE	060BFE	062BFE	063BFE	064BFE	067BFE	069BFE	070BFE	071BFE	073BFE	075BFE	076BFE	077BFE	078BFE	079BFE	080BFE	082BFE	084BFE	085BFE	086BFE	087BFE	088BFE	089BFE	090BFE	091BFE	092BFE	093BFE	094BFE	096BFE	097BFE	099BFE	100BFE	101BFE	102BFE	103BFE	104BFE	105BFE	107BFE	108BFE	109BFE	110BFE	112BFE	126BFE	128BFE	140BFE	142BFE	144BFE	148BFE	170BFE	176BFE	187BFE	502AFE	503AFE	504AFE	505AFE	508AFE	509AFE
k__Bacteria._.p__._.c__._.o__._.f__._.g__	0	0	0	1	0	1	0	0	1	0	11	10	0	0	0	0	0	1	0	2	0	1	4	0	0	0	8	12	801	0	0	96	35	2	0	4	0	6	9	6	0	4	0	28	3	61	30	29	68	2	0	0	407	1	4	9	0	0	8	0	0	0	6	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Bifidobacteriales._.f__Bifidobacteriaceae._.g__Bifidobacterium	14	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	3	0	3	0	0	0	0	0	1	0	0	0	1	10	4	2	0	2	1	1	4	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Gordonibacter	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__._.o__._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	29	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__._.g__	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	10	48	0	0	0	0	0	0	0	53	2	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	0	7	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Bacteroidaceae._.g__Bacteroides	3117	1534	2001	663	1122	443	1062	1335	90	1939	231	67	4008	17	2131	4886	3451	53	2332	2346	2148	3953	2890	4576	1969	1720	5552	3408	2711	3744	6998	1013	1194	2114	87	1955	3880	2656	600	64	1677	1794	2455	3039	2942	1307	1156	1853	342	38	263	311	2429	2514	2	27	3214	2133	79	2057	45	2093	1976	1984	2046	3071	3748	2536	1931
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	12	0	0	0	10	0	0	8	0	0	47	0	0	32	0	0	4	8	1	57	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Barnesiella	0	0	0	0	7	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	2	0	6	0	0	17	0	96	37	6	0	21	1	0	6	41	0	0	0	1	0	29	0	0	129	157	281	10	18	0	0	41	19	51	0	0	8	0	0	0	0	0	4	0	0	0	0	0	17
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Butyricimonas	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	17	2	0	0	1	0	38	1	18	0	2	0	0	1	1	0	1	20	2	0	0	0	6	0	3	3	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Odoribacter	0	2	2	4	0	0	0	17	0	0	10	4	0	0	3	2	0	1	0	12	2	127	9	18	0	7	0	37	177	0	17	49	68	90	13	22	0	13	0	2	0	97	17	64	26	22	42	78	7	0	11	49	36	49	0	0	1	0	5	7	0	7	33	1	0	13	0	0	10
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Parabacteroides	0	0	6	1	15	10	4	3	10	14	1	4	0	0	50	26	178	7	0	113	19	0	16	0	23	0	0	36	34	20	3	137	0	3	0	0	31	0	5	0	0	0	9	1	1	3	116	59	1	0	0	1	0	18	0	1	0	0	3	34	0	5	7	1	0	11	0	14	4
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	63	0	0	61	0	0	0	7	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Alloprevotella	0	0	0	0	0	0	0	0	57	0	0	162	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611	0	0	0	1476	0	0	0	0	0	0	114	0	0	0	0	2	0	150	0	0	98	0	40	1	0	60	93	0	0	114	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Paraprevotella	0	59	0	0	0	3	0	0	7	0	2	2	0	0	0	37	0	0	0	0	0	285	0	0	0	0	0	85	0	0	0	1	424	0	0	0	34	97	7	1	0	68	0	0	0	0	179	7	0	0	19	18	0	86	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Prevotella	0	0	0	0	379	558	896	0	1019	0	1466	1527	0	1088	0	0	0	699	0	0	0	0	0	138	0	2282	0	0	1985	0	13	2244	4915	2257	6537	0	0	0	1293	1435	0	0	0	0	1	75	817	13	3088	2136	1049	1359	1	3	1692	2675	0	655	2606	0	1674	1	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Xylanibacter	0	0	0	0	0	0	0	0	231	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	19	0	0	0	0	15	0	0	0	0	0	23	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Rikenellaceae._.g__Alistipes	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	3	1	31	2	17	2	12	62	83	9	16	16	1	10	0	1	19	13	13	2	0	0	12	9	22	0	30	1	39	1	0	0	7	5	18	0	0	0	0	0	0	0	3	6	0	9	15	13	16	4
k__Bacteria._.p__Bacteroidetes._.c__Cytophagia._.o__Cytophagales._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__._.o__._.f__._.g__	1	0	1	27	0	5	0	0	1	0	0	3	0	0	1	2	1	0	0	5	1	2	0	0	0	4	0	1	67	27	0	49	38	0	0	8	0	0	10	0	0	0	0	58	2	102	116	4	68	5	3	2	1	6	0	2	0	0	2	0	0	1	5	2	0	6	0	1	1
