#OTU ID	011BFE	012BFE	013BFE	020BFE	027BFE	028BFE	030BFE	038BFE	040BFE	047BFE	049BFE	053BFE	055BFE	060BFE	062BFE	063BFE	064BFE	067BFE	069BFE	070BFE	071BFE	073BFE	075BFE	076BFE	077BFE	078BFE	079BFE	080BFE	082BFE	084BFE	085BFE	086BFE	087BFE	088BFE	089BFE	090BFE	091BFE	092BFE	093BFE	094BFE	096BFE	097BFE	099BFE	100BFE	101BFE	102BFE	103BFE	104BFE	105BFE	107BFE	108BFE	109BFE	110BFE	112BFE	126BFE	128BFE	140BFE	142BFE	144BFE	148BFE	170BFE	176BFE	187BFE	502AFE	503AFE	504AFE	505AFE	508AFE	509AFE
k__Bacteria._.p__._.c__._.o__._.f__._.g__	0	0	0	1	0	1	0	0	1	0	10	10	0	0	0	0	0	1	0	1	0	0	2	0	0	0	3	4	157	0	0	39	5	1	0	1	0	1	7	4	0	2	0	12	0	39	13	21	30	2	0	0	194	0	3	6	0	0	6	0	0	0	5	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Bifidobacteriales._.f__Bifidobacteriaceae._.g__Bifidobacterium	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	0	2	1	0	2	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Gordonibacter	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__._.o__._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	12	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__._.g__	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	7	10	0	0	0	0	0	0	0	19	2	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	3	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Bacteroidaceae._.g__Bacteroides	1548	1529	1395	663	1043	369	1027	1244	81	1886	204	65	1982	14	1767	1612	1738	52	1494	1112	1285	1258	1453	1030	1635	473	1777	1236	461	799	1771	376	181	618	20	1291	1582	1397	491	47	1554	1087	1628	1228	1606	936	500	1126	160	28	233	241	1130	1253	2	12	1879	1476	44	1649	45	1529	1650	1835	1399	1656	1912	1659	1810
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	1	0	0	6	0	0	35	0	0	18	0	0	3	7	0	32	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Barnesiella	0	0	0	0	7	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	1	0	3	0	0	4	0	28	6	1	0	7	0	0	1	26	0	0	0	1	0	16	0	0	71	112	133	6	9	0	0	33	9	23	0	0	6	0	0	0	0	0	1	0	0	0	0	0	16
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	16	0	3	0	2	0	0	0	0	0	0	17	1	0	0	0	1	0	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Odoribacter	0	2	1	4	0	0	0	15	0	0	9	4	0	0	3	1	0	1	0	6	2	34	4	4	0	1	0	16	36	0	3	19	11	24	4	10	0	9	0	2	0	52	10	32	16	17	22	43	4	0	11	36	21	24	0	0	1	0	1	5	0	7	26	1	0	10	0	0	9
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Parabacteroides	0	0	3	1	14	10	4	3	10	14	1	4	0	0	45	12	87	6	0	57	14	0	12	0	18	0	0	15	3	4	1	53	0	0	0	0	14	0	5	0	0	0	5	1	1	3	42	37	0	0	0	0	0	12	0	0	0	0	1	29	0	3	6	1	0	8	0	10	4
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	37	0	0	33	0	0	0	7	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Alloprevotella	0	0	0	0	0	0	0	0	47	0	0	148	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	200	0	0	0	0	0	0	97	0	0	0	0	1	0	66	0	0	83	0	31	0	0	58	61	0	0	47	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Paraprevotella	0	59	0	0	0	2	0	0	7	0	2	2	0	0	0	14	0	0	0	0	0	100	0	0	0	0	0	32	0	0	0	0	71	0	0	0	15	55	6	0	0	34	0	0	0	0	58	2	0	0	18	16	0	35	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Prevotella	0	0	0	0	339	469	865	0	884	0	1294	1473	0	966	0	0	0	673	0	0	0	0	0	28	0	563	0	0	339	0	4	846	645	644	1768	0	0	0	1042	1217	0	0	0	0	1	55	369	8	1484	1678	897	1066	1	1	1650	1644	0	442	1258	0	1667	1	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Xylanibacter	0	0	0	0	0	0	0	0	200	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	15	0	0	0	0	14	0	0	0	0	0	23	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Rikenellaceae._.g__Alistipes	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	4	1	4	2	1	20	32	3	6	4	0	1	0	0	14	8	6	2	0	0	8	4	14	0	21	0	24	0	0	0	5	3	11	0	0	0	0	0	0	0	2	5	0	7	4	8	7	4
k__Bacteria._.p__Bacteroidetes._.c__Cytophagia._.o__Cytophagales._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__._.o__._.f__._.g__	1	0	0	27	0	5	0	0	1	0	0	3	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	1	9	9	0	12	2	0	0	5	0	0	7	0	0	0	0	24	2	72	48	0	34	4	2	2	1	2	0	2	0	0	0	0	0	0	5	2	0	2	0	1	1
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__._.f__._.g__	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Carnobacteriaceae._.g__Granulicatella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Bacteria._.p__Firmicutes._.c__Bacilli._.o__Lactobacillales._.f__Lactobacillaceae._.g__Lactobacillus	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	3	15	0	4	0	0	0	0	0	87	46	0	0	0	0	0	9	2	0	1	21	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
