#OTU ID	FR-026	FR-027	FR-030	FR-039	FR-040	FR-052	FR-053	FR-060	FR-105	FR-110	FR-113	FR-115	FR-116	FR-125	FR-129	FR-132	FR-139	FR-142	FR-152	FR-156	FR-161	FR-166	FR-169	FR-170	FR-173	FR-187	FR-194	FR-198	FR-200	FR-208	FR-212	FR-213	FR-214	FR-215	FR-221	FR-223	FR-229	FR-276	FR-281	FR-294	FR-298	FR-302	FR-305	FR-316	FR-328	FR-344	FR-349	FR-390	FR-393	FR-399	FR-400	FR-414	FR-419	FR-430	FR-450	FR-451	FR-459	FR-460	FR-496	FR-500	FR-503	FR-505	FR-506	FR-507	FR-510	FR-539	FR-542	FR-551	FR-552	FR-558	FR-568	FR-596	FR-606	FR-617	FR-626	FR-628	FR-643	FR-654	FR-664	FR-666	FR-667	FR-672	FR-682	FR-684	FR-696	FR-716	FR-719	FR-721	FR-722	FR-723	FR-726	FR-728	FR-730	FR-734	FR-751	FR-759	FR-767	FR-768	FR-770	FR-772	FR-780	FR-783	FR-788	FR-790	FR-792	FR-812	FR-817	FR-820	FR-824	FR-825	FR-826	FR-827	FR-828	FR-829	FR-830	FR-835
k__._.p__._.c__._.o__._.f__._.g__	59	112	88	105	142	126	59	178	179	200	82	99	42	115	100	42	59	34	23	192	69	110	341	141	145	67	563	399	201	454	305	363	338	656	666	322	405	158	284	307	249	273	156	468	354	421	129	300	182	175	227	120	65	80	86	76	100	116	228	217	89	150	181	144	104	137	126	453	122	121	126	104	255	127	83	152	297	115	100	182	118	217	108	136	184	112	123	150	439	158	218	154	123	138	281	191	128	244	152	151	88	115	456	101	215	208	113	152	184	177	200	243	412	214	144	122
k__Archaea._.p__Euryarchaeota._.c__Methanobacteria._.o__Methanobacteriales._.f__Methanobacteriaceae._.g__Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1977	0	0	0	1	0	0
k__Archaea._.p__Euryarchaeota._.c__Methanobacteria._.o__Methanobacteriales._.f__Methanobacteriaceae._.g__Methanobrevibacter	2	927	0	314	46	1	64	19	115	3439	168	1	32	0	0	2	1	0	1739	1	0	1	57	0	28	189	2	38891	12896	7	1040	2682	3395	2	14006	10863	11	0	0	314	1492	1648	2	105	1	32	0	1	0	1306	658	4044	882	1	2	895	53	1926	3795	0	2	1	15	150	861	10556	1	263	1	0	0	1	7	1789	2	0	1192	11860	2955	15	7032	1590	0	333	3	0	1	0	91	2631	1	0	7	2155	25	636	0	10013	3810	0	746	0	12703	6	0	426	0	2	1	2	0	0	31	1360	75	14
k__Archaea._.p__Euryarchaeota._.c__Methanobacteria._.o__Methanobacteriales._.f__Methanobacteriaceae._.g__Methanosphaera	0	0	0	0	4	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	499	0	0	1	3873	0	1	11	1	417	0	0	0	0	0	0	0	1	0	476	73	0	29	0	0	0	0	263	787	0	0	0	0	0	254	0	0	5	0	0	0	0	5	0	0	0	0	0	367	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1988	0	0	1	0	1	0
k__Archaea._.p__Euryarchaeota._.c__Thermoplasmata._.o__Methanomassiliicoccales._.f__Methanomassiliicoccaceae._.g__Methanomassiliicoccus	3	0	0	0	5	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	792	0	0	0	0	0	0	0	8	0	0	89	0	0	0	0	0	0	0	0	0	0	7	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	148	0	0	0	0	0	3	0	0	107	0	0	0	0	0	0	0	0	0	0	0	300	16	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria._.p__._.c__._.o__._.f__._.g__	129	355	262	335	456	314	132	441	564	823	515	330	170	343	272	158	247	71	166	1472	236	296	1839	494	393	212	1467	1088	725	1278	852	921	1044	1730	5430	1236	1044	457	1729	828	617	893	392	1364	875	2327	756	688	595	561	871	557	254	217	222	407	293	581	612	729	238	449	468	384	401	495	380	1100	651	287	361	237	662	378	267	372	974	486	371	516	720	2466	250	389	478	393	909	398	1209	1026	1765	383	412	1811	763	914	981	966	950	342	266	528	2466	258	744	1605	377	437	452	428	585	757	1042	971	368	266
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	10
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Actinomyces	0	0	0	0	0	0	0	0	1	2	3	3	1	12	0	4	6	2	15	0	4	2	0	1	2	2	8	0	7	2	18	10	3	0	1	0	3	5	17	19	23	15	38	25	1	10	4	6	13	3	7	1	0	1	0	1	0	5	1	6	3	1	0	19	1	5	1	0	0	7	4	38	1	2	0	2	1	0	3	5	1	1	0	0	2	0	6	1	0	15	5	3	41	6	7	18	6	4	0	0	18	1	0	0	4	9	8	62	0	124	34	27	0	16	49	52
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Varibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Brevibacteriaceae._.g__Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
