#OTU ID	FR-026	FR-027	FR-030	FR-039	FR-040	FR-052	FR-053	FR-060	FR-105	FR-110	FR-113	FR-115	FR-116	FR-125	FR-129	FR-132	FR-139	FR-142	FR-152	FR-156	FR-161	FR-166	FR-169	FR-170	FR-173	FR-187	FR-194	FR-198	FR-200	FR-208	FR-212	FR-213	FR-214	FR-215	FR-221	FR-223	FR-229	FR-276	FR-281	FR-294	FR-298	FR-302	FR-305	FR-316	FR-328	FR-344	FR-349	FR-390	FR-393	FR-399	FR-400	FR-414	FR-419	FR-430	FR-450	FR-451	FR-459	FR-460	FR-496	FR-500	FR-503	FR-505	FR-506	FR-507	FR-510	FR-539	FR-542	FR-551	FR-552	FR-558	FR-568	FR-596	FR-606	FR-617	FR-626	FR-628	FR-643	FR-654	FR-664	FR-666	FR-667	FR-672	FR-682	FR-684	FR-696	FR-716	FR-719	FR-721	FR-722	FR-723	FR-726	FR-728	FR-730	FR-734	FR-751	FR-759	FR-767	FR-768	FR-770	FR-772	FR-780	FR-783	FR-788	FR-790	FR-792	FR-812	FR-817	FR-820	FR-824	FR-825	FR-826	FR-827	FR-828	FR-829	FR-830	FR-835
k__._.p__._.c__._.o__._.f__._.g__	35	36	51	64	83	92	37	48	91	47	32	68	21	73	71	26	44	29	15	149	52	95	341	26	115	36	52	36	20	42	24	21	40	57	43	29	44	25	35	84	67	62	30	51	79	47	33	54	40	45	51	20	24	18	23	23	24	31	35	55	27	29	48	33	22	37	24	140	24	19	26	24	91	39	23	60	84	28	44	53	26	35	25	32	57	33	30	26	183	34	24	33	40	36	36	41	30	56	42	37	38	24	86	16	45	37	28	29	32	44	36	50	75	40	30	32
k__Archaea._.p__Euryarchaeota._.c__Methanobacteria._.o__Methanobacteriales._.f__Methanobacteriaceae._.g__Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0
k__Archaea._.p__Euryarchaeota._.c__Methanobacteria._.o__Methanobacteriales._.f__Methanobacteriaceae._.g__Methanobrevibacter	2	303	0	190	28	1	23	7	55	723	97	1	17	0	0	1	0	0	1104	1	0	1	57	0	20	100	0	3860	1201	1	88	183	310	0	1098	935	2	0	0	47	281	385	1	10	0	3	0	0	0	307	135	715	329	0	0	344	14	358	559	0	2	0	3	27	170	3871	0	85	0	0	0	0	2	558	1	0	331	2650	1059	3	1696	297	0	76	0	0	0	0	44	653	0	0	3	604	3	134	0	2237	941	0	310	0	2213	1	0	82	0	0	0	2	0	0	11	257	18	3
k__Archaea._.p__Euryarchaeota._.c__Methanobacteria._.o__Methanobacteriales._.f__Methanobacteriaceae._.g__Methanosphaera	0	0	0	0	3	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	273	0	0	3	0	76	0	0	0	0	0	0	0	0	0	109	16	0	12	0	0	0	0	50	108	0	0	0	0	0	54	0	0	2	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	0	0	0	0	0	0
k__Archaea._.p__Euryarchaeota._.c__Thermoplasmata._.o__Methanomassiliicoccales._.f__Methanomassiliicoccaceae._.g__Methanomassiliicoccus	2	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	95	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	2	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	43	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	72	3	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__._.c__._.o__._.f__._.g__	87	112	143	210	302	210	60	141	309	168	244	231	93	218	200	78	142	64	113	1092	160	254	1839	121	320	123	120	103	65	125	81	68	85	160	382	107	91	112	188	158	115	208	125	152	184	266	163	127	118	126	178	88	100	86	73	163	76	107	86	197	97	116	101	64	86	197	63	348	155	46	65	52	256	130	47	113	280	113	138	187	152	518	51	88	142	107	179	94	473	273	295	68	124	481	103	205	241	241	244	97	115	113	422	46	160	324	80	96	77	109	109	141	183	179	84	64
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Actinomyces	0	0	0	0	0	0	0	0	0	1	0	2	1	6	0	0	5	2	11	0	2	2	0	0	2	0	0	0	0	0	4	0	0	0	0	0	1	1	4	4	6	3	13	4	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	3	0	0	0	3	1	1	1	0	0	2	0	12	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	3	1	8	1	0	2	0	0	0	0	7	0	0	0	1	2	0	12	0	30	2	6	0	3	11	10
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Varibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Brevibacteriaceae._.g__Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
