#OTU ID	ER0022	ER0029	ER0023	ER0006	ER0014	ER0009	ER0226	ER0225	ER0222	ER0019	ER0020	ER0050	ER0071	ER0033	ER0060	ER0061	ER0066	ER0068	ER0003	ER0039	ER0072	ER0013	ER0010	ER0057	ER0008	ER0059	ER0051	ER0049	ER0032	ER0047	ER0012	ER0018	ER0055	ER0016	ER0043	ER0040	ER0058	ER0004	ER0044	ER0054	ER0005	ER0063	ER0007	ER0062	ER0045	ER0046	ER0017	ER0065	ER0035	ER0113	ER0097	ER0081	ER0096	ER0098	ER0086	ER0087	ER0090	ER0075	ER0120	ER0080	ER0116	ER0085	ER0101	ER0078	ER0112	ER0084	ER0073	ER0100	ER0082	ER0095	ER0119	ER0105	ER0109	ER0114	ER0077	ER0118	ER0131	ER0171	ER0140	ER0144	ER0142	ER0167	ER0169	ER0168	ER0145	ER0147	ER0121	ER0170	ER0150	ER0133	ER0165	ER0166	ER0139	ER0148	ER0163	ER0146	ER0151	ER0123	ER0128	ER0138	ER0124	ER0159	ER0130	ER0152	ER0132	ER0181	ER0190	ER0176	ER0191	ER0180	ER0215	ER0208	ER0192	ER0194	ER0182	ER0196	ER0189	ER0206	ER0200	ER0203	ER0207	ER0213	ER0199	ER0195	ER0209	ER0210	ER0186	ER0185	ER0197	ER0211	ER0201	ER0220	ER0270	ER0280	ER0236	ER0251	ER0294	ER0278	ER0260	ER0277	ER0234	ER0279	ER0244	ER0271	ER0263	ER0238	ER0261	ER0249	ER0289	ER0243	ER0245	ER0275	ER0247	ER0237	ER0240	ER0241	ER0233	ER0272	ER0291	ER0266	ER0420	ER0348	ER0369	ER0474	ER0415	ER0510	ER0419	ER0344	ER0417	ER0358	ER0391	ER0410	ER0340	ER0491	ER0495	ER0173	ER0488	ER0381	ER0377	ER0380	ER0364	ER0460	ER0379	ER0490	ER0481	ER0324	ER0326	ER0325	ER0336	ER0323	ER0431-1A	ER0172	ER0024	ER0069	ER0030	ER0015	ER0002	ER0219	ER0021	ER0052	ER0042	ER0001	ER0031
k__Bacteria._.p__._.c__._.o__._.f__._.g__	0	1	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	1	0	14	0	0	0	1546	0	7	5	0	2	2	5	0	0	2	0	109	0	4	10	5	0	1	0	0	0	0	55	1	0	1	0	0	11	2	2	0	0	5	5	5	0	0	6	8	0	0	7	0	46	0	3	0	0	0	74	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	37	4	0	0	7	0	4	180	4	2	1	1	7	0	0	0	0	0	4	1	2	0	1	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	19	0	0	0	0	19	0	2	219	0	0	0	0	415	23	0	0	0	0	0	0	0	0	2	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Actinomyces	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	31	0	0	1	0	1	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	2	4	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	1	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	128	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	2	1	0	0	1	2	0	2	9	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Micrococcaceae._.g__Rothia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Propionibacteriaceae._.g__Propionibacterium	1	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Bifidobacteriales._.f__Bifidobacteriaceae._.g__Bifidobacterium	0	0	4	0	0	0	2	24	3	0	27	0	0	0	86	0	0	5	2	0	0	0	2	10	7	0	0	1	1	0	3	13	0	0	0	0	9	3	2	0	0	1	9	0	1	15	27	4	9	0	0	0	35	0	3	0	0	0	0	20	0	6	0	0	0	0	0	0	0	0	0	2	2	51	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	10	0	0	1	15	2	4	12	17	3	0	65	0	2	3	5	34	0	0	3	3	0	0	5	0	2	304	0	2	0	0	0	6	22	28	3	0	0	0	20	0	6	0	1	39	7	1	7	7	1	0	0	2	0	1	8	0	0	0	0	11	2	6	0	0	0	14	86	0	3	1	0	0	1	2	0	0	1	4	7	0	0	1	0	20	0	1	3	2	4	0	5	0	9	0	0	0	0	5	14	0	1	0	0	2
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	3	0	0	0	1	0	3	0	0	7	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	2	2	0	0	1	0	0	2	10	3	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Adlercreutzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Atopobium	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	13	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Collinsella	0	0	70	0	0	8	20	10	5	0	18	657	1	1	8	0	0	2	1	0	19	11	3	0	4	0	0	4	8	1	6	12	2	1	0	0	0	0	164	0	0	1	0	0	7	0	0	1	8	0	0	0	0	1	13	2	0	0	10	0	0	0	0	0	1	0	0	6	2	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	1	0	0	0	13	0	391	3	0	0	0	5	0	0	1	46	16	9	4	9	0	2	0	0	13	12	1	36	0	1	0	1899	1	0	0	0	31	0	0	0	0	0	0	2	1	7	5	0	1	5	0	1	0	0	1	0	1	0	3	0	4	4	24	13	1	0	0	97	41	0	0	20	0	0	0	0	18	9	18	2	3	0	6	3	2	0	0	0	0	66	0	1	0	45	0	0	0	4	19	7	9	7	3	0	0	0	0	0	0	0	1	0	3	0	11	1
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Eggerthella	0	9	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	1	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5	9	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	6	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	2	1	11	0	2	0	16	0	1	0	1	1	0	0	0	3	0	0	1	0	9	0	3	0	0	0	0	0	3	1	0	0	1	0	0	0	2	4	5	0	5	0	0	0	0	1	0	0	8	0	3	0	0	1	0	1	0	0	0	3	0	0	0	0	0	2	1	0	0	1	3	0	0	1	0	4	0	0	0	0	4	0	0	0	0	1	5	2	1	7	0	0	0	2	4	0	2	0	0	0	0	0	1	5	0	0	1	2	0
