#OTU ID	ER0022	ER0029	ER0023	ER0006	ER0014	ER0009	ER0226	ER0225	ER0222	ER0019	ER0020	ER0050	ER0071	ER0033	ER0060	ER0061	ER0066	ER0068	ER0003	ER0039	ER0072	ER0013	ER0010	ER0057	ER0008	ER0059	ER0051	ER0049	ER0032	ER0047	ER0012	ER0018	ER0055	ER0016	ER0043	ER0040	ER0058	ER0004	ER0044	ER0054	ER0005	ER0063	ER0007	ER0062	ER0045	ER0046	ER0017	ER0065	ER0035	ER0113	ER0097	ER0081	ER0096	ER0098	ER0086	ER0087	ER0090	ER0075	ER0120	ER0080	ER0116	ER0085	ER0101	ER0078	ER0112	ER0084	ER0073	ER0100	ER0082	ER0095	ER0119	ER0105	ER0109	ER0114	ER0077	ER0118	ER0131	ER0171	ER0140	ER0144	ER0142	ER0167	ER0169	ER0168	ER0145	ER0147	ER0121	ER0170	ER0150	ER0133	ER0165	ER0166	ER0139	ER0148	ER0163	ER0146	ER0151	ER0123	ER0128	ER0138	ER0124	ER0159	ER0130	ER0152	ER0132	ER0181	ER0190	ER0176	ER0191	ER0180	ER0215	ER0208	ER0192	ER0194	ER0182	ER0196	ER0189	ER0206	ER0200	ER0203	ER0207	ER0213	ER0199	ER0195	ER0209	ER0210	ER0186	ER0185	ER0197	ER0211	ER0201	ER0220	ER0270	ER0280	ER0236	ER0251	ER0294	ER0278	ER0260	ER0277	ER0234	ER0279	ER0244	ER0271	ER0263	ER0238	ER0261	ER0249	ER0289	ER0243	ER0245	ER0275	ER0247	ER0237	ER0240	ER0241	ER0233	ER0272	ER0291	ER0266	ER0420	ER0348	ER0369	ER0474	ER0415	ER0510	ER0419	ER0344	ER0417	ER0358	ER0391	ER0410	ER0340	ER0491	ER0495	ER0173	ER0488	ER0381	ER0377	ER0380	ER0364	ER0460	ER0379	ER0490	ER0481	ER0324	ER0326	ER0325	ER0336	ER0323	ER0431-1A	ER0172	ER0024	ER0069	ER0030	ER0015	ER0002	ER0219	ER0021	ER0052	ER0042	ER0001	ER0031
k__Bacteria._.p__._.c__._.o__._.f__._.g__	0	1	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	14	0	0	0	517	0	6	5	0	1	1	5	0	0	2	0	67	0	2	8	5	0	1	0	0	0	0	21	0	0	1	0	0	7	1	1	0	0	3	4	3	0	0	6	6	0	0	5	0	21	0	1	0	0	0	38	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	2	0	0	6	0	4	29	2	0	0	1	4	0	0	0	0	0	0	1	0	0	1	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	0	9	0	1	63	0	0	0	0	112	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Actinomycetaceae._.g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	21	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	4	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	126	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	1	1	0	0	1	1	0	1	7	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Micrococcaceae._.g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Actinomycetales._.f__Propionibacteriaceae._.g__Propionibacterium	1	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Bifidobacteriales._.f__Bifidobacteriaceae._.g__Bifidobacterium	0	0	0	0	0	0	0	7	0	0	7	0	0	0	59	0	0	5	2	0	0	0	2	6	2	0	0	1	0	0	1	3	0	0	0	0	7	3	2	0	0	0	8	0	1	9	26	3	6	0	0	0	29	0	1	0	0	0	0	16	0	4	0	0	0	0	0	0	0	0	0	2	2	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	13	1	2	11	16	2	0	63	0	1	2	5	27	0	0	3	0	0	0	5	0	0	272	0	2	0	0	0	5	14	9	2	0	0	0	6	0	1	0	0	12	7	0	7	5	1	0	0	0	0	0	2	0	0	0	0	5	0	5	0	0	0	7	36	0	2	1	0	0	0	2	0	0	0	2	5	0	0	0	0	6	0	0	3	0	1	0	3	0	2	0	0	0	0	3	6	0	1	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	3	0	0	0	0	0	3	0	0	7	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Adlercreutzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Atopobium	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Collinsella	0	0	20	0	0	2	3	3	1	0	6	389	1	1	4	0	0	2	1	0	9	7	2	0	3	0	0	4	6	1	2	4	0	1	0	0	0	0	157	0	0	0	0	0	4	0	0	1	3	0	0	0	0	0	5	1	0	0	6	0	0	0	0	0	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	6	0	357	3	0	0	0	5	0	0	1	32	6	8	3	8	0	1	0	0	10	9	1	24	0	0	0	636	1	0	0	0	23	0	0	0	0	0	0	2	0	0	3	0	0	5	0	1	0	0	0	0	1	0	3	0	1	4	12	3	1	0	0	63	28	0	0	13	0	0	0	0	8	4	5	2	1	0	1	1	2	0	0	0	0	40	0	1	0	17	0	0	0	4	13	3	1	3	1	0	0	0	0	0	0	0	0	0	1	0	2	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Eggerthella	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	5	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	1	3	0	1	0	6	0	1	0	1	0	0	0	0	2	0	0	1	0	7	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	2	0	2	0	0	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	2	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	3	1	1	6	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	2	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Enterorhabdus	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Gordonibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Actinobacteria._.c__Actinobacteria._.o__Coriobacteriales._.f__Coriobacteriaceae._.g__Slackia	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	8	10	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__._.o__._.f__._.g__	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	7	0	0	0	0	12	0	3	3	0	0	88	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	1	1	107	1	0	2	218	1	0	0	4	0	0	0	0	0	0	0	19	9	0	0	0	3	0	1	0	0	0	2	0	0	0	2	5	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__._.g__	0	5	1	0	0	0	0	0	0	0	0	3	5	1	3	0	0	5	2	4	4	10	1	4	5	2	6	1	9	7	6	0	0	3	0	3	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	1	1	4	0	11	0	7	7	14	3	1	7	4	1	2	3	11	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	7	1	0	1	6	0	1	0	0	2	0	7	2	2	3	4	2	0	3	0	2	1	1	0	0	1	5	0	1	0	0	8	0	0	0	5	7	5	2	10	1	3	5	15	11	1	4	5	0	2	0	1	0	1	3	9	1	0	1	0	0	0	2	0	1	2	2	2	0	4	0	1	0	1	1	3	3	3
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Bacteroidaceae._.g__Bacteroides	3	905	380	226	1821	1207	1251	1163	1278	1542	286	421	548	1271	709	553	1	261	527	1052	1060	971	1318	881	728	286	1208	764	480	1288	1031	363	1744	720	1225	984	1012	87	663	61	872	23	1345	871	659	1346	247	509	1802	523	36	990	609	888	154	742	1071	572	496	1115	932	640	1152	633	1110	765	554	1408	764	1183	681	955	1268	1164	1489	1632	717	765	576	94	632	1020	794	413	736	219	265	1424	1129	772	1151	1365	710	664	946	897	1377	1048	1052	1160	1228	1510	793	1491	429	1077	751	665	850	1333	1537	250	453	52	504	824	987	358	157	863	147	260	1522	68	12	380	978	175	4	1149	1109	941	1020	827	1003	485	412	815	270	296	431	851	1260	1014	1162	351	147	883	1071	988	738	1224	662	1086	281	387	1144	668	1155	1524	706	783	948	981	1091	149	347	1137	908	1153	579	665	782	668	279	3	495	518	792	970	1141	814	440	1107	283	352	660	390	495	477	1056	1061	608	10	639	4	1258	510	390	83	977	682	1178
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	144	0	4	0	2	26	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Barnesiella	0	0	0	0	0	10	0	0	0	0	0	0	90	0	0	0	0	2	0	0	0	0	0	0	1	6	0	36	9	3	0	7	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	33	0	0	0	96	0	6	0	0	56	0	0	0	21	3	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	27	0	6	0	0	58	18	1	12	0	49	7	4	14	40	0	0	2	1	0	25	0	0	0	20	0	0	1	0	7	0	13	3	0	0	1	0	0	0	5	35	7	0	0	19	11	6	140	0	0	55	43	0	169	2	5	18	0	30	6	0	0	9	77	1	0	0	0	3	0	0	3	0	1	4	7	0	33	0	2	0	3	0	0	5	39	12	12	0	1	73	0	0	61	90	17	57	30	0	0	0	0	0	0	0	6	28	11	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Butyricimonas	0	0	0	3	0	1	0	0	0	0	0	0	15	0	0	0	0	0	2	0	0	0	0	18	0	13	0	22	0	0	1	6	5	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	33	0	0	0	0	0	1	4	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	4	5	4	0	0	0	0	0	0	4	1	10	0	12	0	0	0	0	6	0	0	0	0	0	0	1	0	0	8	0	0	2	0	16	0	0	0	0	0	17	0	5	0	0	76	0	2	6	0	0	3	10	0	6	1	4	3	0	15	0	0	33	14	19	0	6	1	0	1	0	0	0	0	5	23	1	0	10	4	1	0	2	0	0	0	14	9	9	0	0	16	6	11	6	24	8	19	5	0	0	0	0	0	0	0	8	14	1	0	5	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Odoribacter	0	33	0	0	0	2	0	2	12	4	0	0	0	35	0	0	0	0	0	1	0	0	0	2	0	52	0	73	0	0	2	3	23	0	0	17	0	0	0	0	4	0	0	6	37	0	0	15	0	0	0	0	0	0	21	11	0	0	72	0	0	0	4	24	0	0	0	25	0	43	0	0	0	11	0	0	11	0	0	0	6	0	41	0	63	0	5	0	1	51	0	12	8	6	15	6	0	0	0	0	19	1	11	21	0	13	7	0	22	0	0	18	2	1	0	3	0	0	0	2	5	1	0	7	0	3	0	0	0	0	0	0	0	7	0	0	9	0	5	4	0	0	15	14	0	5	3	9	20	0	26	5	0	0	52	14	1	6	0	0	3	0	0	0	0	0	4	24	0	3	5	41	1	0	0	0	0	22	0	34	0	1	20	0	1	25	6	26	53	31	0	0	0	0	0	0	0	19	19	4	0	37	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Parabacteroides	0	13	5	171	0	12	24	126	63	0	0	0	87	65	0	3	0	530	271	78	31	10	0	29	0	112	56	26	561	16	58	50	67	43	169	121	0	20	276	8	130	5	121	40	1	0	203	44	0	88	2	0	0	73	11	29	0	0	40	77	89	5	125	64	50	7	0	35	75	135	219	8	373	125	2	0	158	23	20	0	32	7	93	5	228	6	87	8	1	39	0	153	97	21	83	71	246	21	100	300	76	66	261	95	52	103	132	676	95	35	0	18	181	0	176	32	242	22	15	59	41	188	15	7	2	118	111	0	0	0	0	122	97	20	255	2	22	42	63	67	51	55	123	99	2	47	10	126	189	117	76	106	84	77	96	194	16	36	170	0	115	121	194	39	0	19	13	114	259	65	44	167	1	150	0	0	18	44	45	108	99	1	103	406	111	105	61	90	62	145	231	14	57	1	17	0	135	35	43	20	0	35	27
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Porphyromonadaceae._.g__Tannerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	2	1	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
k__Bacteria._.p__Bacteroidetes._.c__Bacteroidia._.o__Bacteroidales._.f__Prevotellaceae._.g__Alloprevotella	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	114	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	43	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
