"","Ro2020s021","Ro2020s035","Ro2020s001","Ro2020s003","Ro2020s022","Ro2020s028","Ro2020s012","Ro2020s002","Ro2020s008","Ro2020s026","Ro2020s024","Ro2020s037","Ro2020s016","Ro2020s004","Ro2020s019","Ro2020s029","Ro2020s031","Ro2020s027","Ro2020s009","Ro2020s039","Ro2020s010","Ro2020s030","Ro2020s013","Ro2020s020","Ro2020s007","Ro2020s017","Ro2020s014","Ro2020s023","Ro2020s015","Ro2020s033","Ro2020s025","Ro2020s038","Ro2020s011","Ro2020s018","Ro2020s006","Ro2020s005","Ro2020s036","Ro2020s032","Ro2020s034","taxonomy"
"05328cb3a4c2a447beb7a4910814e630",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae; D_5__uncultured; D_6__uncultured bacterium"
"b773a450060d0eb6d4229ef9e475bee2",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,10,2,4,1,5,0,4,4,1,0,11,0,0,0,7,0,0,0,0,0,0,"D_0__Bacteria; D_1__Cloacimonetes; D_2__Cloacimonadia; D_3__Cloacimonadales"
"7da987f6971a0b613c81a7d3c2dc94c4",0,0,2,0,0,0,0,0,0,3,0,0,2,2,0,2,0,5,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"D_0__Bacteria; D_1__Lentisphaerae; D_2__Oligosphaeria; D_3__Oligosphaerales; D_4__Lenti-02; D_5__uncultured bacterium; D_6__uncultured bacterium"
"d5f63f20fd155751b4dacf52e68c0726",16,0,3,0,0,2,0,0,0,0,0,0,3,0,0,10,0,10,0,0,0,0,0,14,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae; D_3__MSBL9; D_4__4572-13; D_5__uncultured organism; D_6__uncultured organism"
"2c5f134b775dabd9ef729f0b21e718db",16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae; D_5__uncultured; D_6__uncultured bacterium"
"d1ea0379253cd45b416d99d019dddc12",0,0,1,3,2,7,2,4,32,2,0,0,0,0,0,9,23,0,23,9,7,21,7,2,21,4,11,0,27,28,0,12,13,0,0,0,0,31,0,"D_0__Bacteria; D_1__Synergistetes; D_2__Synergistia; D_3__Synergistales; D_4__Synergistaceae; D_5__Thermovirga"
"8da3e3f754451053fd62cc15b104a1c1",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Christensenellaceae; D_5__uncultured"
"241139aef330f1dddb8a6612d9711f39",3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,"D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae; D_3__Phycisphaerales; D_4__AKAU3564 sediment group; D_5__uncultured organism; D_6__uncultured organism"
"8f8fb193c72db2aa3ec4a726636ec58c",501,0,0,2,154,488,27,0,22,371,499,0,160,0,164,674,0,165,65,0,49,0,74,639,21,37,24,113,53,0,433,2,34,170,31,75,2,0,2,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prolixibacteraceae; D_5__uncultured; D_6__benzene mineralizing consortium clone SB-1"
"5d869983a8e556f8b9fa7ffc1b7fb74e",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Ruminococcaceae"
