"","sampleid","comparison"
"1","Ho2017s001","plastic"
"2","Ho2017s002","plastic"
"3","Ho2017s005","plastic"
"4","Ho2017s006","plastic"
"5","Ho2017s007","plastic"
"6","Ho2017s008","plastic"
"7","Ho2017s013","plastic"
"8","Ho2017s022","plastic"
"9","Ho2017s023","plastic"
"10","Ho2017s024","plastic"
"11","Ho2017s025","plastic"
"12","Ho2017s026","plastic"
"13","Ho2017s027","plastic"
"14","Ho2017s028","plastic"
"15","Ho2017s029","plastic"
"16","Ho2017s030","sediment"
"17","Ho2017s031","sediment"
"18","Ho2017s032","sediment"
"19","Ho2017s033","sediment"
"20","Ho2017s034","plastic"
"21","Ho2017s036","plastic"
"22","Ho2017s037","plastic"
"23","Ho2017s038","plastic"
"24","Ho2017s039","sediment"
"25","Ho2017s040","sediment"
"26","Ho2017s041","sediment"
"27","Ho2017s042","sediment"
"28","Ho2017s043","sediment"
"29","Ho2017s044","sediment"
"30","Ho2017s045","sediment"
"31","Ho2017s047","sediment"
