"","sampleid","comparison"
"1","Ro2020s001","plastic"
"2","Ro2020s002","plastic"
"3","Ro2020s003","plastic"
"4","Ro2020s004","plastic"
"5","Ro2020s005","plastic"
"6","Ro2020s006","plastic"
"7","Ro2020s007","sediment"
"8","Ro2020s008","sediment"
"9","Ro2020s009","sediment"
"10","Ro2020s010","sediment"
"11","Ro2020s011","sediment"
"12","Ro2020s012","sediment"
"13","Ro2020s013","sediment"
"14","Ro2020s014","sediment"
"15","Ro2020s015","sediment"
"16","Ro2020s016","plastic"
"17","Ro2020s017","sediment"
"18","Ro2020s018","plastic"
"19","Ro2020s019","plastic"
"20","Ro2020s020","plastic"
"21","Ro2020s021","plastic"
"22","Ro2020s022","plastic"
"23","Ro2020s023","plastic"
"24","Ro2020s024","plastic"
"25","Ro2020s025","plastic"
"26","Ro2020s026","plastic"
"27","Ro2020s027","plastic"
"28","Ro2020s028","plastic"
"29","Ro2020s029","plastic"
"30","Ro2020s030","plastic"
"31","Ro2020s031","plastic"
"32","Ro2020s032","plastic"
"33","Ro2020s033","plastic"
"34","Ro2020s034","plastic"
"35","Ro2020s035","plastic"
"36","Ro2020s036","plastic"
"37","Ro2020s037","plastic"
"38","Ro2020s038","sediment"
"39","Ro2020s039","sediment"
