"","sampleid","comparison"
"1","MC2016s006","organic"
"2","MC2016s007","organic"
"3","MC2016s008","organic"
"4","MC2016s009","organic"
"5","MC2016s010","plastic"
"6","MC2016s011","organic"
"7","MC2016s012","plastic"
"8","MC2016s013","plastic"
"9","MC2016s014","organic"
"10","MC2016s022","organic"
"11","MC2016s024","organic"
"12","MC2016s025","organic"
"13","MC2016s026","organic"
"14","MC2016s027","organic"
"15","MC2016s028","plastic"
"16","MC2016s029","plastic"
"17","MC2016s030","plastic"
"18","MC2016s031","organic"
"19","MC2016s033","organic"
"20","MC2016s041","organic"
"21","MC2016s042","organic"
"22","MC2016s043","organic"
"23","MC2016s044","plastic"
"24","MC2016s045","organic"
"25","MC2016s046","plastic"
"26","MC2016s047","plastic"
"27","MC2016s048","plastic"
"28","MC2016s049","plastic"
"29","MC2016s055","plastic"
"30","MC2016s059","plastic"
"31","MC2016s060","organic"
"32","MC2016s061","plastic"
"33","MC2016s062","organic"
"34","MC2016s063","organic"
"35","MC2016s064","organic"
"36","MC2016s065","organic"
"37","MC2016s066","organic"
"38","MC2016s067","organic"
"39","MC2016s068","organic"
"40","MC2016s070","organic"
"41","MC2016s079","organic"
"42","MC2016s080","organic"
"43","MC2016s081","organic"
"44","MC2016s082","organic"
"45","MC2016s083","plastic"
"46","MC2016s085","plastic"
"47","MC2016s086","plastic"
"48","MC2016s087","plastic"
"49","MC2016s105","organic"
"50","MC2016s107","organic"
"51","MC2016s108","organic"
"52","MC2016s109","organic"
"53","MC2016s110","plastic"
"54","MC2016s111","plastic"
"55","MC2016s112","plastic"
"56","MC2016s113","plastic"
"57","MC2016s133","organic"
"58","MC2016s135","organic"
"59","MC2016s136","organic"
"60","MC2016s137","organic"
"61","MC2016s138","plastic"
"62","MC2016s139","plastic"
"63","MC2016s140","plastic"
"64","MC2016s141","plastic"
"65","MC2016s145","organic"
