"","sampleid","comparison"
"1","Fr2018s001","plastic"
"2","Fr2018s002","plastic"
"3","Fr2018s003","plastic"
"4","Fr2018s004","plastic"
"5","Fr2018s005","plastic"
"6","Fr2018s006","plastic"
"7","Fr2018s007","plastic"
"8","Fr2018s008","plastic"
"9","Fr2018s009","plastic"
"10","Fr2018s010","plastic"
"11","Fr2018s011","plastic"
"12","Fr2018s013","plastic"
"13","Fr2018s014","plastic"
"14","Fr2018s015","plastic"
"15","Fr2018s016","plastic"
"16","Fr2018s017","plastic"
"17","Fr2018s018","plastic"
"18","Fr2018s019","plastic"
"19","Fr2018s020","plastic"
"20","Fr2018s021","plastic"
"21","Fr2018s022","plastic"
"22","Fr2018s023","plastic"
"23","Fr2018s024","plastic"
"24","Fr2018s025","plastic"
"25","Fr2018s026","plastic"
"26","Fr2018s027","plastic"
"27","Fr2018s034","seawater"
"28","Fr2018s035","seawater"
"29","Fr2018s036","seawater"
"30","Fr2018s037","seawater"
"31","Fr2018s038","seawater"
"32","Fr2018s039","seawater"
"33","Fr2018s043","plastic"
"34","Fr2018s044","plastic"
"35","Fr2018s045","plastic"
"36","Fr2018s046","plastic"
"37","Fr2018s047","plastic"
"38","Fr2018s048","plastic"
"39","Fr2018s049","plastic"
"40","Fr2018s050","plastic"
"41","Fr2018s051","plastic"
"42","Fr2018s052","plastic"
"43","Fr2018s053","plastic"
"44","Fr2018s054","plastic"
"45","Fr2018s055","plastic"
"46","Fr2018s056","plastic"
"47","Fr2018s057","plastic"
"48","Fr2018s058","plastic"
"49","Fr2018s059","plastic"
"50","Fr2018s060","plastic"
"51","Fr2018s061","plastic"
"52","Fr2018s065","plastic"
"53","Fr2018s068","plastic"
"54","Fr2018s070","seawater"
"55","Fr2018s071","seawater"
"56","Fr2018s072","seawater"
"57","Fr2018s076","seawater"
"58","Fr2018s077","seawater"
"59","Fr2018s078","seawater"
