"","sampleid","comparison"
"1","PD-40","H"
"2","PD-20","H"
"3","PD-39","H"
"4","PD-11","H"
"5","NO-15","T1D"
"6","PD-28","T1D"
"7","PD-13","T1D"
"8","PD-23","T1D"
"9","PD-04","H"
"10","NO35","T1D"
"11","PD-10","H"
"12","PD-15","H"
"13","PD-21","H"
"14","PD52","H"
"15","PD-17","T1D"
"16","PD-27","H"
"17","CO-23","H"
"18","PD-24","H"
"19","CO-14","H"
"20","CO-24","H"
"21","NO-29","T1D"
"22","NO-26","T1D"
"23","CO-04","H"
"24","NO33","T1D"
"25","PD-14","T1D"
"26","NO-24","T1D"
"27","CO-06","H"
"28","PD49","T1D"
"29","NO-10","T1D"
"30","CO-10","H"
"31","NO-05","T1D"
"32","CO-07","H"
"33","NO-18","T1D"
"34","NO-04","T1D"
"35","CO-19","H"
"36","CO-08","H"
"37","PD-33","T1D"
"38","CO-05","H"
"39","PD-31","H"
"40","CO-18","H"
"41","CO-03","H"
"42","NO-08","T1D"
"43","CO-09","H"
"44","PD-16","T1D"
"45","NO-13","T1D"
"46","PD-36","H"
"47","NO-22","T1D"
"48","NO-25","T1D"
"49","NO-28","T1D"
"50","PD-43","H"
"51","PD-32","H"
"52","NO-23","T1D"
"53","NO-19","T1D"
"54","PD-26","H"
"55","NO-32","T1D"
"56","PD-41","H"
"57","PD-37","H"
"58","PD-03","T1D"
"59","NO37","T1D"
"60","NO-27","T1D"
"61","PD48","H"
"62","CO-17","H"
"63","CO-15","H"
"64","NO-07","T1D"
"65","NO-09","T1D"
"66","NO34","T1D"
"67","NO-02","T1D"
"68","PD50","H"
"69","NO38","T1D"
"70","PD-25","H"
"71","NO-31","T1D"
"72","PD-46","H"
"73","PD-19","H"
"74","PD22","T1D"
"75","NO-14","T1D"
"76","PD-08","H"
"77","CO-21","H"
"78","CO-02","H"
"79","NO36","T1D"
"80","PD-02","T1D"
"81","PD-12","T1D"
"82","PD47","T1D"
"83","PD-29","H"
"84","PD-18","T1D"
"85","CO-13","H"
"86","PD-09","H"
"87","CO-12","H"
"88","NO-01","T1D"
"89","PD34","T1D"
"90","PD-06","H"
"91","PD-01","T1D"
"92","PD-05","H"
"93","NO-06","T1D"
"94","PD51","T1D"
"95","PD-35","T1D"
"96","PD53","T1D"
"97","NO-11","T1D"
"98","PD-44","T1D"
"99","PD-45","H"
"100","CO-01","H"
"101","PD-38","T1D"
"102","PD-30","H"
